input_smile,is_patented,patent_cid,similar_smile_patent
COc1cc(Br)ccc1-n1nc(C(=O)NCC(=O)NCCC2=CCCCC2)c2ccccc2c1=O,True,134130547.0,COC1=C(C=CC(=C1)Br)N2C(=O)C3=CC=CC=C3C(=N2)C(=O)NCC(=O)NCCC4=CCCCC4
Cc1cc(=O)c(O)c(O)cc1C(=O)c1ccccc1,True,136754278.0,CC1=CC(=O)C(=C(C=C1C(=O)C2=CC=CC=C2)O)O
Fc1ccc(C2(Cn3cncn3)COC(c3cc4ccc(Cl)cc4s3)=N2)cc1,True,155672473.0,C1C(N=C(O1)C2=CC3=C(S2)C=C(C=C3)Cl)(CN4C=NC=N4)C5=CC=C(C=C5)Cl
COc1ccc(-c2cc3cnn([C@H](C)[C@](O)(Cn4cncn4)c4ccc(F)cc4F)c(=O)n3c2)cc1,True,137370669.0,CC(C(CN1C=NC=N1)(C2=C(C=C(C=C2)F)F)O)N3C(=O)N4C=C(C=C4C=N3)C5=CC=C(C=C5)OC
O=C1c2ccsc2-c2nccc3ccnc1c23,True,72715062.0,C1=CN=C2C3=C1C=CN=C3C(=O)C4=C2SC=C4
Fc1ccc(C2(Cn3cncn3)COC(c3ccc(-c4ccccc4F)cc3)=N2)cc1,True,155672478.0,C1C(N=C(O1)C2=CC=C(C=C2)C3=CC=CC=C3F)(CN4C=NC=N4)C5=CC=C(C=C5)F
Cc1cc(=O)c(O)c(O)cc1C(=O)c1cccs1,True,137253751.0,CC1=CC(=O)C(=C(C=C1C(=O)C2=CC=CS2)O)O
CC[C@H]1C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@H](CC)C[C@H]2CC[C@H](O2)C(C)C(=O)O1,True,139583904.0,CCC1CC2CCC(O2)C(C(=O)OC(CC3CCC(O3)C(C(=O)O1)C)CC)C
Clc1ccc(C(Cn2ccnc2)[Se]Cc2ccccc2Cl)c(Cl)c1,True,3006895.0,C1=CC=C(C(=C1)CC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
O=C1CN=C(c2ccccc2Br)c2cc(F)ccc2N1CCCn1nnc(-c2ccc(Cl)cc2)n1,False,,None
